Date,Price,Open,High,Low,Vol.,Change %
26-Mar-21,60.97,58.48,61.36,58.32,472.00K,0.0412
25-Mar-21,58.56,60.8,60.86,57.44,580.11K,-0.0428
24-Mar-21,61.18,57.4,61.34,57.29,566.29K,0.0592
23-Mar-21,57.76,61.28,61.35,57.25,712.32K,-0.0616
22-Mar-21,61.55,61.55,61.9,60.39,28.26K,0.0021
19-Mar-21,61.42,59.56,61.72,58.94,84.17K,0.0237
18-Mar-21,60,64.42,64.82,58.2,143.60K,-0.0712
17-Mar-21,64.6,64.75,65.34,63.6,254.72K,-0.0031
16-Mar-21,64.8,65.33,65.43,63.8,317.54K,-0.009
15-Mar-21,65.39,65.56,66.4,64.13,378.01K,-0.0034
12-Mar-21,65.61,65.96,66.24,65.41,321.71K,-0.0062
11-Mar-21,66.02,64.7,66.21,64.54,441.06K,0.0245
10-Mar-21,64.44,63.84,64.96,63.13,498.49K,0.0067
9-Mar-21,64.01,64.73,65.98,63.63,554.56K,-0.016
8-Mar-21,65.05,66.68,67.98,64.57,533.38K,-0.0157
5-Mar-21,66.09,64.16,66.42,63.82,573.17K,0.0354
4-Mar-21,63.83,61.08,64.86,60.52,694.63K,0.0416
3-Mar-21,61.28,59.55,61.99,59.24,465.31K,0.0256
2-Mar-21,59.75,60.23,61.21,59.38,464.13K,-0.0147
1-Mar-21,60.64,61.95,62.92,59.96,456.68K,-0.014
26-Feb-21,61.5,63.46,63.57,61.34,472.72K,-0.032
25-Feb-21,63.53,63.39,63.81,62.65,510.36K,0.0049
24-Feb-21,63.22,61.29,63.51,60.97,489.93K,0.0251
23-Feb-21,61.67,62.16,63,60.67,570.68K,0.0029
22-Feb-21,61.49,58.88,61.84,58.82,37.04K,0.038
19-Feb-21,59.24,60.2,60.29,58.59,102.43K,-0.0212
18-Feb-21,60.52,61.68,62.26,59.79,132.04K,-0.0101
17-Feb-21,61.14,60.24,61.73,59.43,335.42K,0.0182
16-Feb-21,60.05,59.98,60.95,59.33,602.33K,-0.0007
15-Feb-21,60.09,60.36,60.95,59.96,-,-0.0046
14-Feb-21,60.37,60.01,60.75,60.01,-,0.0151
12-Feb-21,59.47,57.94,59.82,57.41,480.82K,0.0211
11-Feb-21,58.24,58.4,58.71,57.84,380.45K,-0.0075
10-Feb-21,58.68,58.45,58.91,58.08,457.54K,0.0055
9-Feb-21,58.36,58.11,58.62,57.27,514.70K,0.0067
8-Feb-21,57.97,57.06,58.14,57,399.72K,0.0197
5-Feb-21,56.85,56.46,57.29,56.43,400.83K,0.011
4-Feb-21,56.23,55.96,56.58,55.3,381.40K,0.0097
3-Feb-21,55.69,55.05,56.33,54.81,448.69K,0.017
2-Feb-21,54.76,53.48,55.26,53.45,463.72K,0.0226
1-Feb-21,53.55,51.99,53.74,51.64,416.07K,0.0259
29-Jan-21,52.2,52.15,53.25,51.93,410.91K,-0.0027
28-Jan-21,52.34,52.65,53.58,52.04,411.41K,-0.0096
27-Jan-21,52.85,52.76,53.3,51.85,442.38K,0.0046
26-Jan-21,52.61,52.91,53.25,52.29,314.54K,-0.003
25-Jan-21,52.77,52.17,52.95,51.82,349.08K,0.0096
22-Jan-21,52.27,53.1,53.16,51.44,437.48K,-0.0162
21-Jan-21,53.13,52.93,53.41,52.75,352.40K,-0.0021
20-Jan-21,53.24,53.13,53.79,53.05,37.84K,0.0049
19-Jan-21,52.98,52,53.13,51.76,125.96K,0.0118
18-Jan-21,52.36,52.2,52.61,51.83,-,0.0031
17-Jan-21,52.2,52.09,52.38,52.09,-,-0.0031
15-Jan-21,52.36,53.8,53.83,51.83,165.67K,-0.0226
14-Jan-21,53.57,52.84,53.75,52.24,390.09K,0.0125
13-Jan-21,52.91,53.31,53.93,52.58,429.90K,-0.0056
12-Jan-21,53.21,52.18,53.45,52.07,400.20K,0.0184
11-Jan-21,52.25,52.58,52.7,51.5,394.82K,0.0002
8-Jan-21,52.24,50.93,52.75,50.81,499.42K,0.0277
7-Jan-21,50.83,50.53,51.28,50.39,369.29K,0.004
6-Jan-21,50.63,49.82,50.94,49.48,509.37K,0.014
5-Jan-21,49.93,47.38,50.2,47.24,643.19K,0.0485
4-Jan-21,47.62,48.4,49.83,47.18,528.53K,-0.0185
31-Dec-20,48.52,48.35,48.58,47.77,181.89K,0.0025
30-Dec-20,48.4,48.13,48.66,47.61,266.96K,0.0083
29-Dec-20,48,47.72,48.35,47.68,213.78K,0.008
28-Dec-20,47.62,48.23,48.96,47.5,238.46K,-0.0126
24-Dec-20,48.23,48.09,48.62,47.56,167.39K,0.0023
23-Dec-20,48.12,46.79,48.5,46.16,344.31K,0.0234
22-Dec-20,47.02,47.93,47.96,46.6,295.74K,-0.0151
21-Dec-20,47.74,48.54,48.61,46.18,27.96K,-0.0277
18-Dec-20,49.1,48.43,49.28,48.1,83.71K,0.0153
17-Dec-20,48.36,47.85,48.59,47.81,96.54K,0.0113
16-Dec-20,47.82,47.6,47.94,47.17,275.33K,0.0042
15-Dec-20,47.62,46.99,47.73,46.54,311.17K,0.0134
14-Dec-20,46.99,46.73,47.44,45.69,403.54K,0.009
11-Dec-20,46.57,46.97,47.29,46.34,367.31K,-0.0045
10-Dec-20,46.78,45.69,47.74,45.52,447.53K,0.0277
9-Dec-20,45.52,45.6,46.24,44.95,434.98K,-0.0018
8-Dec-20,45.6,45.66,45.93,45.14,332.64K,-0.0035
7-Dec-20,45.76,46.15,46.54,45.36,348.87K,-0.0108
