Date,Price,Open,High,Low,Vol.,Change %
5-Nov-20,565.9,552.5,567.1,552,0.10K,0.0308
4-Nov-20,549,528.2,553.5,528.2,0.09K,0.0235
3-Nov-20,536.4,515.7,540.1,510.9,0.23K,0.058
2-Nov-20,507,498.5,514.9,495,0.24K,0.023
30-Oct-20,495.6,498,501,492.8,0.27K,-0.0038
29-Oct-20,497.5,502.2,502.2,493.9,0.19K,-0.0038
28-Oct-20,499.4,500,509,490.8,0.32K,-0.0115
27-Oct-20,505.2,502.8,518.4,498,0.23K,0.0044
26-Oct-20,503,510,514.1,498.6,0.27K,-0.0239
23-Oct-20,515.3,529.4,529.4,512.6,0.27K,-0.0303
22-Oct-20,531.4,521.8,538.1,518.6,0.20K,0.018
21-Oct-20,522,528.3,536.5,520,0.24K,-0.0182
20-Oct-20,531.7,556.1,567.2,531.7,0.35K,-0.0345
19-Oct-20,550.7,536,552.9,534,0.27K,0.0313
16-Oct-20,534,540,546.9,533.4,0.23K,-0.0069
15-Oct-20,537.7,541.3,546.9,536,0.17K,-0.0204
14-Oct-20,548.9,540.5,554.4,540.5,0.17K,0.0252
13-Oct-20,535.4,535.2,537.5,525,0.18K,-0.0007
12-Oct-20,535.8,550,550,530.8,0.21K,-0.0386
9-Oct-20,557.3,586.3,586.3,557.3,0.28K,-0.0495
8-Oct-20,586.3,573.5,586.3,571.4,0.20K,0.0335
7-Oct-20,567.3,571.5,580.4,560.1,0.17K,-0.0271
6-Oct-20,583.1,602,607,583.1,0.16K,-0.0316
5-Oct-20,602.1,600,609.5,578.6,0.17K,-0.0015
2-Oct-20,603,612.6,612.6,603,0.15K,-0.0305
1-Oct-20,622,620.2,629.5,605.2,0.20K,0.016
30-Sep-20,612.2,592.7,621.2,592.7,0.27K,0.0166
29-Sep-20,602.2,568.8,603.5,557.6,0.22K,0.0408
28-Sep-20,578.6,611.1,630,578.6,0.25K,-0.0477
25-Sep-20,607.6,575.2,607.6,569.8,0.23K,0.0501
